sts_topic_id,bertopic_topic_id,sentiment_setting,jaccard_overlap,common_words
1,2,average,0.30434782608695654,"bed, comfy, friendly, helpful, location, room, staff"
1,2,negative,0.15384615384615385,"bed, extra, service, staff"
1,2,positive,0.30434782608695654,"bed, comfortable, comfy, friendly, helpful, location, staff"
2,5,average,0.42857142857142855,"bathroom, good, great, hotel, location, room, shower, small, staff"
2,5,negative,0.2,"bathroom, good, room, shower, small"
2,5,positive,0.2,"helpful, hotel, lovely, room, staff"
3,7,average,0.2,"friendly, helpful, room, small, staff"
3,7,negative,0.034482758620689655,room
3,7,positive,0.07142857142857142,"room, staff"
4,3,average,0.25,"check, hotel, location, room, service, staff"
4,3,negative,0.15384615384615385,"bad, hotel, room, told"
4,3,positive,0.25,"booking, check, fault, helpful, hotel, staff"
5,1,average,0.5,"breakfast, excellent, friendly, good, great, helpful, location, nice, room, staff"
5,1,negative,0.2,"breakfast, location, nice, room, service"
5,1,positive,0.25,"breakfast, excellent, good, great, location, room"
6,0,average,0.5789473684210527,"breakfast, clean, friendly, good, great, helpful, hotel, location, room, staff, stay"
6,0,negative,0.15384615384615385,"good, hotel, location, room"
6,0,positive,0.5,"friendly, great, helpful, hotel, location, lovely, room, staff, stay, time"
7,12,average,0.25,"bed, breakfast, comfortable, great, hotel, room"
7,12,negative,0.07142857142857142,"bed, breakfast"
7,12,positive,0.07142857142857142,"bed, breakfast"
