bertopic_topic_id,sts_topic_id,cosine_similarity,jaccard_avg
0,6,0.8765851952421765,0.5789473684210527
1,5,0.7158088607287544,0.5
2,1,0.5224671358476359,0.30434782608695654
3,4,0.6712886564924754,0.25
4,6,0.4067020905540824,0.15384615384615385
5,2,0.6545336742121599,0.42857142857142855
6,1,0.3902890366246792,0.15384615384615385
7,3,0.5874268341112946,0.2
8,6,0.4375128841331222,0.36363636363636365
9,3,0.43017955738225466,0.36363636363636365
10,2,0.36188626175569455,0.36363636363636365
11,3,0.4720749269289169,0.25
12,7,0.5045899459733508,0.25
13,3,0.39097484281839745,0.25
14,2,0.5435749684496122,0.1111111111111111
