var,std_diff_before,std_diff_after
topic_prob_0,-0.17919405731380272,0.10087560709719441
topic_prob_1,0.08541372614759037,0.11124554534584835
topic_prob_2,-0.12930487067869662,-0.02976726101745731
topic_prob_3,0.06909112321781986,-0.10260749917497342
topic_prob_4,-0.06547953708737532,-0.04991470850909875
topic_prob_5,-0.10696068881032945,-0.05018893759851246
topic_prob_6,0.18405644049248832,-0.010631309470050638
topic_prob_7,0.10161850089990827,-0.02437851793516314
topic_prob_8,0.2969710012555861,0.08569753439703316
topic_prob_9,-0.04092235572478055,0.15225801685264276
topic_prob_10,-0.061761133209625174,0.029396909951973724
topic_prob_11,-0.029455993037745827,-0.030647558454189202
topic_prob_12,0.1308699460268214,-0.07662053369817032
topic_prob_13,-0.08436776007517306,-0.13047267246507832
topic_prob_14,0.15035179444632008,0.0
month_idx,0.03434304474963174,-0.01945139897128725
days_num,0.09793528824104225,0.01868469239173236
reviewer_reviews,0.20977041271914323,-0.03364403880796473
stayed_nights,-0.12714489354992983,0.0824683378088948
